Track Name,Artist Name,Artist Popularity,Artist Genres,Album,Track Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Mood_Label,Confidence,Mental_Health_Benefit,Musical_Features
Jo Tum Mere Ho,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Jo Tum Mere Ho,84,0.46,0.302,1,-12.934,0,0.0398,0.661,0,0.293,0.176,123.871,251813,Sadness,0.341,"Mood Upliftment, Emotional Release, Grief Support, Hope Building","Slow Tempo, Minor Harmony, Descending Melody, Soft Dynamics"
Choo Lo,The Local Train,64,"['hindi indie', 'indian indie', 'indian rock', 'new delhi indie']",Aalas Ka Pedh,72,0.512,0.695,4,-6.349,1,0.0271,0.0265,0.00815,0.146,0.351,145.956,233630,Joy,0.469,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Husn,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Husn,78,0.527,0.376,5,-9.974,1,0.0298,0.682,0,0.142,0.24,151.928,217894,Neutral,0.865,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
3:59 AM,DIVINE,68,"['desi hip hop', 'desi trap', 'hindi hip hop']",Punya Paap,61,0.669,0.588,2,-6.902,1,0.339,0.177,0,0.179,0.237,97.026,272197,Neutral,0.742,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
All Black,Raftaar,63,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",All Black,60,0.813,0.734,10,-5.464,0,0.0577,0.072,0,0.118,0.652,107.967,218145,Excitement,1,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Khatta Flow,Seedhe Maut,66,"['desi hip hop', 'hindi hip hop']",Lunch Break,61,0.858,0.737,9,-7.077,1,0.266,0.284,0,0.117,0.717,140.055,152415,Excitement,0.656,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Yaar Naa Miley,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Kick,60,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01E-06,0.75,0.551,127.988,243206,Excitement,0.977,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Dhundhala,Yashraj,55,"['desi hip hop', 'hindi hip hop']",Dhundhala,63,0.641,0.449,5,-9.568,0,0.162,0.133,6.39E-05,0.139,0.491,99.899,182400,Neutral,0.825,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Riha,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Riha,61,0.395,0.148,3,-11.016,1,0.03,0.896,0,0.114,0.4,142.691,287312,Neutral,0.726,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Tu Aake Dekhle,King,70,"['desi pop', 'hindi hip hop']",The Carnival,72,0.77,0.838,11,-4.022,1,0.108,0.518,0.00398,0.145,0.187,96.016,270000,Neutral,0.649,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Alag Aasmaan,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Alag Aasmaan,72,0.699,0.299,6,-12.599,1,0.0403,0.869,0,0.0724,0.459,118.968,212750,Neutral,0.805,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Blue Eyes,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Blue Eyes,71,0.77,0.51,10,-5.469,0,0.192,0.137,0.000106,0.0346,0.533,188.067,220943,Excitement,0.346,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Call Aundi,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Zorawar,60,0.656,0.701,10,-4.964,0,0.0387,0.578,0,0.137,0.664,159.934,216549,Excitement,0.55,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Aankhon Aankhon,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Bhaag Johnny,61,0.746,0.988,10,-4.565,0,0.0637,0.29,0.00218,0.131,0.61,130.042,244831,Excitement,1,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Brown Rang,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",International Villager,66,0.804,0.902,11,-3.067,0,0.0846,0.265,0.000402,0.065,0.72,155.98,211394,Excitement,1,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Waqt Ki Baatein,Dream Note,51,"['desi pop', 'hindi indie', 'indian indie']",Waqt Ki Baatein,61,0.556,0.202,4,-16.397,1,0.0324,0.915,0.0381,0.112,0.2,145.017,243310,Calm,0.536,"Mindfulness, Emotional Stability, Relaxation, Peace","Slow Tempo, Repetitive Melody, Peaceful Harmony, Flowing"
Gul,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Gul,71,0.6,0.294,6,-12.301,1,0.0292,0.871,8.66E-05,0.102,0.342,86.97,217250,Neutral,0.783,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Dheere Dheere,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Dheere Dheere,70,0.73,0.58,0,-7.976,1,0.124,0.0399,2.48E-05,0.0703,0.55,167.915,212412,Joy,0.345,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Maan Meri Jaan,King,70,"['desi pop', 'hindi hip hop']",Champagne Talk,73,0.698,0.505,6,-8.242,0,0.0356,0.354,0,0.0995,0.396,95.868,194653,Neutral,0.84,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Mazaak,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Mazaak,64,0.535,0.462,2,-11.291,1,0.0296,0.79,2.07E-06,0.114,0.23,145.959,212062,Neutral,0.846,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Ektarfa,King,70,"['desi pop', 'hindi hip hop']",Ektarfa,59,0.748,0.472,0,-9.266,0,0.125,0.596,1.10E-05,0.102,0.364,149.97,230903,Neutral,0.832,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
Payal,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",GLORY,65,0.819,0.663,10,-6.976,0,0.1,0.643,0.00012,0.202,0.736,98.022,226751,Excitement,0.521,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Desi Kalakaar,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Desi Kalakaar,73,0.751,0.67,0,-4.587,1,0.267,0.0796,0.00018,0.0908,0.766,156.062,253352,Excitement,0.457,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
Dope Shope,Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",International Villager,66,0.756,0.91,6,-1.988,1,0.0556,0.44,3.22E-05,0.066,0.861,136,193608,Joy,0.552,"Mindfulness, Increased Motivation, Energy Boost, Positivity","Fast Tempo, Major Harmony, Ascending Melody, Bright Timbre"
Baarishein,Anuv Jain,77,"['desi pop', 'hindi indie', 'indian indie', 'indian singer-songwriter']",Baarishein,75,0.476,0.124,2,-9.463,1,0.0443,0.927,0,0.0972,0.19,94.299,207312,Neutral,0.747,"Emotional Balance, Stability, General Wellness, Grounding","Balanced Tempo, Stable Harmony, Comfortable Rhythm, Even"
"Yaar Naa Miley (From ""Kick"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Yo Yo Honey Singh Is Back,65,0.663,0.938,0,-2.894,0,0.0335,0.0102,9.01E-06,0.75,0.551,127.988,243206,Excitement,0.988,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
"Chaar Botal Vodka (From ""Ragini Mms 2"")",Yo Yo Honey Singh,80,"['filmi', 'hindi hip hop', 'modern bollywood']",Yo Yo Honey Singh Is Back,63,0.877,0.881,4,-3.713,0,0.0713,0.421,0.000345,0.12,0.874,123.024,225837,Excitement,0.947,"Focus, Energy Channeling, Motivation, Achievement","Fast Tempo, Complex Rhythm, Energetic Harmony, Dynamic"
